Tarih,Kategori,Ürün,BirimFiyat,Adet,Kanal,Şehir,Tutar
2025-01-25,Tatlı,Tiramisu,123.01,3,Mağaza,İstanbul,369.03
2025-03-25,Atıştırmalık,Muffin,32.41,4,Mağaza,İzmir,129.64
2024-12-07,Yemek,Makarna,136.94,6,Mağaza,Antalya,821.64
2024-12-03,Yemek,Pizza,178.77,5,Mağaza,İzmir,893.85
2025-03-21,Tatlı,Dondurma,53.9,4,Mağaza,Ankara,215.6
2025-04-30,İçecek,Kahve,42.58,3,Mağaza,İstanbul,127.74
2025-07-26,Yemek,Salata,110.1,1,Mağaza,İstanbul,110.1
2025-03-17,Atıştırmalık,Tost,66.8,2,Mağaza,İstanbul,133.6
2025-07-27,Yemek,Salata,119.35,2,Mağaza,Ankara,238.7
2025-07-25,Tatlı,Cheesecake,96.8,6,Online,İstanbul,580.8
2024-12-18,İçecek,Limonata,35.98,1,Mağaza,Bursa,35.98
2025-01-07,Yemek,Burger,145.86,5,Online,İstanbul,729.3
2025-07-15,Yemek,Pizza,179.76,5,Mağaza,Ankara,898.8
2025-03-25,Tatlı,Cheesecake,81.26,5,Mağaza,Ankara,406.3
2024-12-15,İçecek,Kahve,42.77,2,Mağaza,Ankara,85.54
2025-06-10,İçecek,Limonata,31.68,3,Mağaza,İstanbul,95.04
2025-07-05,Tatlı,Tiramisu,115.94,5,Online,Bursa,579.7
2025-03-29,Atıştırmalık,Sandviç,60.69,1,Mağaza,İstanbul,60.69
2025-07-17,Yemek,Pizza,183.45,1,Mağaza,İzmir,183.45
2024-12-28,Atıştırmalık,Kurabiye,27.4,4,Online,Ankara,109.6
2025-06-20,Yemek,Salata,136.16,4,Mağaza,İstanbul,544.64
2025-01-08,Yemek,Burger,133.09,6,Mağaza,Ankara,798.54
2025-06-03,Atıştırmalık,Muffin,36.01,4,Mağaza,Ankara,144.04
2024-12-17,Tatlı,Cheesecake,107.07,4,Mağaza,Bursa,428.28
2025-07-19,Tatlı,Tiramisu,107.27,1,Mağaza,Bursa,107.27
2025-02-24,Yemek,Burger,159.44,4,Mağaza,İstanbul,637.76
2025-07-06,Tatlı,Cheesecake,81.44,1,Online,İstanbul,81.44
2025-04-05,Yemek,Makarna,122.45,5,Online,İstanbul,612.25
2025-01-13,Tatlı,Tiramisu,115.48,5,Mağaza,Antalya,577.4
2024-12-25,Yemek,Pizza,201.11,6,Mağaza,İstanbul,1206.66
2025-04-24,Tatlı,Cheesecake,88.06,3,Mağaza,İzmir,264.18
2024-12-13,İçecek,Limonata,39.52,1,Mağaza,Ankara,39.52
2025-06-30,Atıştırmalık,Sandviç,71.98,5,Mağaza,Ankara,359.9
2024-12-25,İçecek,Çay,21.81,1,Online,İstanbul,21.81
2025-02-06,Atıştırmalık,Muffin,36.83,6,Online,İstanbul,220.98
2025-04-17,Atıştırmalık,Tost,54.82,2,Mağaza,İstanbul,109.64
2025-02-05,Yemek,Pizza,202.21,2,Mağaza,İstanbul,404.42
2025-07-21,Atıştırmalık,Kurabiye,33.9,6,Mağaza,İstanbul,203.4
2025-03-19,İçecek,Limonata,34.97,3,Mağaza,İstanbul,104.91
2025-04-25,İçecek,Çay,17.04,2,Mağaza,Ankara,34.08
2025-03-21,Tatlı,Tiramisu,97.12,6,Mağaza,İstanbul,582.72
2025-07-16,İçecek,Çay,20.44,1,Mağaza,İstanbul,20.44
2025-03-21,Tatlı,Tiramisu,94.28,3,Mağaza,İstanbul,282.84
2025-07-02,Atıştırmalık,Kurabiye,29.07,5,Mağaza,İstanbul,145.35
2025-01-03,İçecek,Çay,18.82,1,Online,İstanbul,18.82
2025-03-21,Atıştırmalık,Kurabiye,31.93,1,Mağaza,İstanbul,31.93
2024-12-08,İçecek,Çay,17.33,1,Mağaza,İzmir,17.33
2025-05-17,İçecek,Soğuk Kahve,54.81,1,Mağaza,İstanbul,54.81
2025-03-23,Tatlı,Tiramisu,112.61,5,Mağaza,Antalya,563.05
2025-07-24,Atıştırmalık,Tost,62.11,6,Online,İstanbul,372.66
2025-02-21,İçecek,Soğuk Kahve,53.44,1,Mağaza,Antalya,53.44
2025-01-11,Yemek,Burger,131.78,5,Online,İzmir,658.9
2025-05-18,Atıştırmalık,Sandviç,73.83,2,Mağaza,İzmir,147.66
2025-03-11,Atıştırmalık,Tost,66.26,6,Mağaza,Bursa,397.56
2024-12-06,Atıştırmalık,Tost,63.49,2,Mağaza,İstanbul,126.98
2025-05-29,Tatlı,Tiramisu,124.26,4,Mağaza,İstanbul,497.04
2024-12-26,Yemek,Burger,149.13,5,Mağaza,İstanbul,745.65
2025-02-02,Atıştırmalık,Muffin,41.02,3,Online,İstanbul,123.06
2025-07-14,İçecek,Kahve,40.52,2,Mağaza,İstanbul,81.04
2025-06-05,İçecek,Soğuk Kahve,53.67,2,Mağaza,Ankara,107.34
2025-06-02,Tatlı,Tiramisu,109.51,3,Mağaza,İstanbul,328.53
2025-01-28,İçecek,Çay,18.54,3,Mağaza,İstanbul,55.62
2025-03-19,Atıştırmalık,Sandviç,70.6,5,Mağaza,İstanbul,353.0
2025-06-16,İçecek,Çay,18.74,2,Mağaza,Ankara,37.48
2025-07-17,Atıştırmalık,Muffin,40.14,2,Mağaza,Antalya,80.28
2025-03-31,İçecek,Limonata,34.69,2,Mağaza,Ankara,69.38
2025-01-02,Yemek,Pizza,177.78,2,Online,İstanbul,355.56
2025-05-30,Tatlı,Dondurma,68.71,3,Online,İstanbul,206.13
2025-04-29,Tatlı,Dondurma,58.06,1,Mağaza,İzmir,58.06
2024-12-21,Yemek,Burger,134.22,5,Online,İstanbul,671.1
2025-06-16,Yemek,Salata,113.47,3,Online,Antalya,340.41
2025-02-08,Tatlı,Cheesecake,106.25,4,Mağaza,İstanbul,425.0
2025-03-22,Yemek,Pizza,179.82,3,Mağaza,İstanbul,539.46
2024-12-04,Atıştırmalık,Sandviç,72.1,1,Mağaza,Antalya,72.1
2025-03-04,İçecek,Çay,18.08,2,Mağaza,Antalya,36.16
2025-02-13,Tatlı,Tiramisu,111.35,5,Online,Ankara,556.75
2025-06-08,Yemek,Pizza,167.83,6,Online,İstanbul,1006.98
2025-01-31,Atıştırmalık,Kurabiye,32.08,4,Online,İzmir,128.32
2025-03-04,Tatlı,Tiramisu,120.97,5,Mağaza,İstanbul,604.85
2025-03-05,Yemek,Burger,149.02,4,Mağaza,İstanbul,596.08
2025-05-01,Tatlı,Tiramisu,117.6,4,Mağaza,İstanbul,470.4
2025-01-24,Yemek,Salata,120.45,5,Mağaza,Ankara,602.25
2025-04-16,Tatlı,Dondurma,63.82,3,Mağaza,İzmir,191.46
2025-04-10,Atıştırmalık,Kurabiye,29.3,2,Mağaza,İstanbul,58.6
2025-07-31,Atıştırmalık,Muffin,39.73,4,Mağaza,Antalya,158.92
2024-12-31,İçecek,Soğuk Kahve,51.02,1,Mağaza,İstanbul,51.02
2025-01-09,Tatlı,Cheesecake,82.74,5,Online,İstanbul,413.7
2025-07-17,İçecek,Kahve,43.83,1,Mağaza,Ankara,43.83
2025-01-05,Tatlı,Tiramisu,108.74,3,Online,İzmir,326.22
2025-05-01,Yemek,Pizza,166.85,4,Online,Antalya,667.4
2025-07-11,Yemek,Makarna,138.88,6,Online,İzmir,833.28
2024-12-06,İçecek,Çay,17.44,3,Online,İstanbul,52.32
2025-02-04,Tatlı,Dondurma,55.01,5,Mağaza,Antalya,275.05
2025-06-30,İçecek,Soğuk Kahve,59.1,1,Mağaza,Bursa,59.1
2025-07-08,Atıştırmalık,Muffin,37.28,1,Online,İstanbul,37.28
2025-02-13,İçecek,Kahve,47.77,1,Online,Ankara,47.77
2024-12-04,İçecek,Limonata,35.71,1,Mağaza,Ankara,35.71
2025-02-17,Yemek,Burger,158.93,6,Online,İstanbul,953.58
2025-04-13,İçecek,Limonata,36.03,1,Mağaza,Antalya,36.03
2025-03-28,Tatlı,Cheesecake,81.17,5,Mağaza,İstanbul,405.85
2025-03-23,Yemek,Pizza,172.06,2,Mağaza,Ankara,344.12
2025-03-04,İçecek,Limonata,31.25,1,Mağaza,İstanbul,31.25
2025-07-18,Atıştırmalık,Sandviç,78.92,1,Mağaza,Ankara,78.92
2025-05-28,İçecek,Limonata,30.84,3,Mağaza,İzmir,92.52
2025-01-31,İçecek,Soğuk Kahve,53.15,1,Mağaza,İstanbul,53.15
2025-06-03,İçecek,Çay,18.36,3,Online,İstanbul,55.08
2025-06-12,Yemek,Burger,154.56,2,Mağaza,Antalya,309.12
2025-02-17,Tatlı,Dondurma,56.55,5,Mağaza,İzmir,282.75
2025-06-21,Atıştırmalık,Tost,68.85,4,Mağaza,Ankara,275.4
2025-04-15,İçecek,Limonata,30.16,3,Mağaza,İstanbul,90.48
2024-12-26,Tatlı,Tiramisu,97.73,3,Mağaza,İstanbul,293.19
2025-05-28,Tatlı,Tiramisu,100.91,3,Mağaza,İzmir,302.73
2025-05-22,Yemek,Burger,153.07,6,Online,İzmir,918.42
2025-01-13,Atıştırmalık,Muffin,42.32,6,Mağaza,İstanbul,253.92
2025-04-12,Yemek,Salata,104.57,1,Mağaza,İzmir,104.57
2025-02-08,Tatlı,Tiramisu,94.57,1,Online,İstanbul,94.57
2025-05-03,Tatlı,Tiramisu,118.07,3,Online,İstanbul,354.21
2025-03-28,Tatlı,Cheesecake,84.55,6,Mağaza,Ankara,507.3
2025-02-06,Yemek,Makarna,115.69,1,Mağaza,İstanbul,115.69
2024-12-19,Atıştırmalık,Muffin,32.55,4,Mağaza,İstanbul,130.2
2025-06-30,İçecek,Limonata,30.27,2,Mağaza,İzmir,60.54
2025-07-13,Yemek,Burger,130.07,2,Mağaza,Ankara,260.14
2024-12-20,Tatlı,Cheesecake,82.6,6,Online,İzmir,495.6
2025-03-23,Yemek,Pizza,172.92,4,Mağaza,İzmir,691.68
2025-04-19,Tatlı,Tiramisu,120.98,3,Mağaza,İzmir,362.94
2025-01-16,İçecek,Soğuk Kahve,52.13,3,Mağaza,İstanbul,156.39
2024-12-01,İçecek,Kahve,48.08,1,Online,İstanbul,48.08
2025-02-28,Atıştırmalık,Tost,52.69,3,Mağaza,Ankara,158.07
2025-04-21,Tatlı,Cheesecake,99.54,4,Mağaza,İstanbul,398.16
2025-02-02,Atıştırmalık,Muffin,35.91,1,Mağaza,İzmir,35.91
2025-01-07,Atıştırmalık,Sandviç,75.24,6,Mağaza,Ankara,451.44
2025-01-06,İçecek,Kahve,40.09,2,Online,İstanbul,80.18
2025-04-05,Yemek,Salata,134.32,1,Mağaza,Ankara,134.32
2025-04-18,Yemek,Burger,129.19,5,Mağaza,Antalya,645.95
2025-03-10,Atıştırmalık,Tost,57.36,3,Mağaza,İstanbul,172.08
2025-02-15,İçecek,Çay,22.7,2,Online,İstanbul,45.4
2025-07-23,Tatlı,Tiramisu,112.59,2,Mağaza,İzmir,225.18
2024-12-03,Yemek,Makarna,124.77,5,Online,İstanbul,623.85
2025-05-10,Atıştırmalık,Muffin,43.13,3,Mağaza,İstanbul,129.39
2025-04-13,Yemek,Burger,132.82,2,Mağaza,İstanbul,265.64
2025-05-27,Yemek,Makarna,114.2,1,Mağaza,Ankara,114.2
2024-12-10,Tatlı,Tiramisu,126.4,5,Mağaza,Ankara,632.0
2024-12-05,İçecek,Çay,18.61,1,Online,Ankara,18.61
2025-04-30,Tatlı,Tiramisu,121.59,3,Online,Bursa,364.77
2025-04-17,İçecek,Soğuk Kahve,49.48,2,Mağaza,İzmir,98.96
2025-05-21,Yemek,Pizza,192.49,4,Mağaza,Antalya,769.96
2025-04-09,Atıştırmalık,Tost,60.44,1,Mağaza,Ankara,60.44
2024-12-13,Tatlı,Cheesecake,108.71,1,Online,İstanbul,108.71
2025-05-17,İçecek,Kahve,45.71,2,Mağaza,Antalya,91.42
2025-04-09,Yemek,Burger,120.05,2,Mağaza,İstanbul,240.1
2025-02-22,İçecek,Kahve,46.4,3,Mağaza,İzmir,139.2
2025-02-03,İçecek,Çay,17.87,3,Mağaza,İstanbul,53.61
2025-02-01,İçecek,Limonata,38.13,1,Online,İzmir,38.13
2025-03-11,Yemek,Makarna,143.91,1,Online,Antalya,143.91
2025-02-11,Atıştırmalık,Muffin,37.8,2,Mağaza,İstanbul,75.6
2024-12-17,Atıştırmalık,Kurabiye,32.55,1,Mağaza,İstanbul,32.55
2024-12-09,Atıştırmalık,Kurabiye,26.81,1,Mağaza,İstanbul,26.81
2025-06-21,İçecek,Limonata,34.92,1,Online,Ankara,34.92
2025-04-22,Yemek,Salata,116.18,2,Mağaza,İstanbul,232.36
2025-05-01,İçecek,Çay,20.67,1,Mağaza,İzmir,20.67
2025-01-07,Atıştırmalık,Kurabiye,25.9,3,Mağaza,İstanbul,77.7
2025-05-12,Atıştırmalık,Tost,64.54,6,Mağaza,İstanbul,387.24
2025-03-04,Yemek,Burger,122.32,2,Mağaza,Ankara,244.64
2025-03-05,İçecek,Kahve,47.11,3,Mağaza,Ankara,141.33
2025-01-18,Tatlı,Dondurma,51.33,5,Online,İstanbul,256.65
2025-02-07,Tatlı,Tiramisu,120.95,6,Mağaza,İzmir,725.7
2025-01-31,Atıştırmalık,Muffin,34.29,1,Mağaza,Bursa,34.29
2025-06-06,Yemek,Burger,140.65,6,Mağaza,İstanbul,843.9
2025-07-24,İçecek,Kahve,41.78,2,Mağaza,İstanbul,83.56
2025-05-27,İçecek,Limonata,37.34,2,Mağaza,İzmir,74.68
2025-02-16,Atıştırmalık,Sandviç,66.25,2,Mağaza,İstanbul,132.5
2025-03-27,Atıştırmalık,Kurabiye,32.02,1,Mağaza,İstanbul,32.02
2025-03-30,İçecek,Soğuk Kahve,51.45,3,Mağaza,Ankara,154.35
2025-06-21,İçecek,Limonata,37.65,1,Mağaza,İstanbul,37.65
2025-04-16,Atıştırmalık,Kurabiye,25.78,4,Mağaza,İstanbul,103.12
2025-05-11,İçecek,Çay,18.7,3,Online,Antalya,56.1
2025-02-14,Tatlı,Cheesecake,94.96,6,Mağaza,İstanbul,569.76
2025-07-15,Atıştırmalık,Kurabiye,25.91,5,Mağaza,Bursa,129.55
2025-01-04,İçecek,Limonata,31.7,2,Mağaza,İstanbul,63.4
2024-12-01,Atıştırmalık,Kurabiye,33.91,6,Mağaza,İzmir,203.46
2025-01-09,Yemek,Makarna,148.6,3,Online,Ankara,445.8
2025-02-02,Atıştırmalık,Kurabiye,32.16,5,Mağaza,İstanbul,160.8
2025-04-29,Atıştırmalık,Kurabiye,27.77,2,Online,İzmir,55.54
2025-01-29,Yemek,Makarna,120.66,1,Mağaza,Bursa,120.66
2025-02-02,Tatlı,Tiramisu,114.81,3,Online,İstanbul,344.43
2025-03-03,İçecek,Çay,17.71,3,Online,İzmir,53.13
2025-02-10,Yemek,Burger,158.83,4,Mağaza,İstanbul,635.32
2024-12-11,Atıştırmalık,Muffin,34.86,3,Online,İzmir,104.58
2025-03-15,İçecek,Kahve,51.75,1,Mağaza,İzmir,51.75
2025-07-17,Yemek,Salata,119.85,6,Online,İstanbul,719.1
2024-12-14,İçecek,Soğuk Kahve,59.48,2,Online,İstanbul,118.96
2025-01-29,İçecek,Soğuk Kahve,46.79,1,Online,Ankara,46.79
2024-12-30,Yemek,Makarna,145.16,6,Mağaza,Antalya,870.96
2025-01-04,İçecek,Limonata,32.59,2,Online,İstanbul,65.18
2025-07-01,Tatlı,Dondurma,63.02,6,Mağaza,Ankara,378.12
2025-05-14,Yemek,Salata,131.03,3,Mağaza,İstanbul,393.09
2024-12-05,Tatlı,Dondurma,53.95,6,Mağaza,İzmir,323.7
2025-02-21,Atıştırmalık,Kurabiye,29.48,3,Online,Ankara,88.44
2025-04-02,İçecek,Kahve,44.92,3,Mağaza,İzmir,134.76
2025-02-16,Atıştırmalık,Tost,56.62,4,Mağaza,Bursa,226.48
2025-05-03,Atıştırmalık,Sandviç,69.62,2,Mağaza,İstanbul,139.24
2025-01-31,İçecek,Çay,18.91,3,Mağaza,İstanbul,56.73
2025-04-11,Yemek,Salata,114.99,2,Online,Antalya,229.98
2025-02-27,İçecek,Kahve,47.29,2,Online,İstanbul,94.58
2025-07-25,Atıştırmalık,Kurabiye,31.19,5,Mağaza,İzmir,155.95
2025-01-11,Atıştırmalık,Kurabiye,27.59,4,Mağaza,İzmir,110.36
2025-02-27,Yemek,Burger,156.69,6,Mağaza,İzmir,940.14
2025-04-25,İçecek,Soğuk Kahve,60.99,3,Mağaza,İstanbul,182.97
2025-01-09,Atıştırmalık,Sandviç,70.19,2,Mağaza,İstanbul,140.38
2025-02-10,Tatlı,Dondurma,58.8,6,Mağaza,İzmir,352.8
2025-01-08,Atıştırmalık,Tost,57.78,2,Mağaza,İstanbul,115.56
2025-03-14,Atıştırmalık,Muffin,40.36,4,Mağaza,İzmir,161.44
2024-12-14,Yemek,Burger,147.21,4,Mağaza,Ankara,588.84
2025-01-01,Tatlı,Dondurma,54.53,3,Mağaza,İstanbul,163.59
2025-05-28,Atıştırmalık,Kurabiye,31.54,4,Mağaza,İstanbul,126.16
2025-04-04,Atıştırmalık,Muffin,35.18,4,Mağaza,Antalya,140.72
2025-05-15,Tatlı,Dondurma,51.33,2,Online,Ankara,102.66
2025-03-07,İçecek,Soğuk Kahve,58.29,2,Mağaza,Ankara,116.58
2024-12-23,İçecek,Soğuk Kahve,57.39,1,Mağaza,Antalya,57.39
2025-02-01,Atıştırmalık,Kurabiye,29.2,6,Mağaza,İzmir,175.2
2025-04-22,Atıştırmalık,Muffin,38.29,4,Online,Antalya,153.16
2025-07-13,İçecek,Çay,22.68,3,Online,İstanbul,68.04
2025-05-02,Yemek,Makarna,133.71,1,Online,İzmir,133.71
2025-04-24,Tatlı,Dondurma,62.84,3,Mağaza,İstanbul,188.52
2025-07-13,Tatlı,Cheesecake,82.57,5,Mağaza,İzmir,412.85
2025-07-27,Yemek,Makarna,116.97,3,Online,Bursa,350.91
2025-06-12,Yemek,Makarna,122.24,3,Mağaza,İstanbul,366.72
2025-06-24,Yemek,Makarna,131.54,6,Online,İstanbul,789.24
2025-01-22,Yemek,Makarna,140.79,4,Mağaza,İzmir,563.16
2025-03-14,Yemek,Salata,113.56,6,Mağaza,İstanbul,681.36
2025-03-14,Yemek,Burger,133.97,4,Online,İzmir,535.88
2025-05-28,Tatlı,Cheesecake,88.05,6,Mağaza,İstanbul,528.3
2025-01-08,Yemek,Burger,129.69,4,Mağaza,Bursa,518.76
2025-05-28,İçecek,Soğuk Kahve,62.41,3,Mağaza,İstanbul,187.23
2025-06-16,Yemek,Makarna,135.28,4,Online,Ankara,541.12
2025-04-13,Yemek,Burger,125.55,3,Mağaza,İstanbul,376.65
2025-02-05,Tatlı,Cheesecake,101.33,5,Mağaza,İstanbul,506.65
2025-04-14,Tatlı,Tiramisu,117.33,4,Mağaza,İstanbul,469.32
2025-05-28,Yemek,Pizza,188.99,5,Online,Ankara,944.95
2025-06-18,Tatlı,Tiramisu,97.95,5,Online,İstanbul,489.75
2025-01-11,Atıştırmalık,Sandviç,68.07,2,Mağaza,Bursa,136.14
2025-06-10,Tatlı,Dondurma,52.92,2,Mağaza,İstanbul,105.84
2025-08-01,Tatlı,Tiramisu,120.45,1,Mağaza,İzmir,120.45
2024-12-15,Tatlı,Dondurma,62.79,6,Mağaza,Ankara,376.74
2025-03-21,Tatlı,Dondurma,60.13,2,Online,Ankara,120.26
2025-05-06,İçecek,Kahve,42.88,1,Mağaza,İstanbul,42.88
2025-01-02,İçecek,Kahve,40.74,2,Mağaza,Ankara,81.48
2025-08-01,İçecek,Kahve,39.69,2,Mağaza,Ankara,79.38
2025-07-10,Yemek,Pizza,205.34,1,Mağaza,İstanbul,205.34
2025-07-19,Yemek,Makarna,118.29,2,Mağaza,İstanbul,236.58
2025-05-04,Atıştırmalık,Sandviç,60.76,3,Mağaza,İstanbul,182.28
2025-05-13,İçecek,Çay,22.77,2,Online,İstanbul,45.54
2025-05-06,Yemek,Pizza,182.64,1,Mağaza,İstanbul,182.64
2025-01-07,Tatlı,Tiramisu,119.79,4,Mağaza,İstanbul,479.16
2025-06-03,Tatlı,Tiramisu,94.94,6,Mağaza,İzmir,569.64
2025-03-07,İçecek,Kahve,45.9,3,Online,İstanbul,137.7
2025-07-17,Atıştırmalık,Kurabiye,29.08,4,Mağaza,İstanbul,116.32
2025-05-04,Atıştırmalık,Sandviç,75.71,4,Online,İstanbul,302.84
2025-06-01,Tatlı,Cheesecake,81.85,6,Online,Ankara,491.1
2025-01-02,Atıştırmalık,Kurabiye,29.12,3,Online,İstanbul,87.36
2025-06-14,İçecek,Kahve,49.04,2,Mağaza,İzmir,98.08
2025-02-24,Tatlı,Dondurma,60.41,6,Mağaza,İzmir,362.46
2025-02-04,Yemek,Makarna,131.95,6,Mağaza,Ankara,791.7
2024-12-10,Yemek,Burger,123.08,6,Mağaza,İstanbul,738.48
2024-12-05,Atıştırmalık,Sandviç,62.28,5,Online,Ankara,311.4
2025-04-02,Tatlı,Tiramisu,115.84,2,Mağaza,İstanbul,231.68
2025-02-12,Tatlı,Tiramisu,115.78,4,Mağaza,Bursa,463.12
2025-03-07,Yemek,Burger,160.12,6,Mağaza,İzmir,960.72
2025-03-28,Tatlı,Tiramisu,116.99,2,Online,Ankara,233.98
2025-01-07,Tatlı,Dondurma,59.88,5,Mağaza,Antalya,299.4
2025-04-20,Tatlı,Dondurma,66.43,4,Mağaza,Ankara,265.72
2025-05-08,Atıştırmalık,Tost,52.88,2,Mağaza,İstanbul,105.76
2025-01-16,Tatlı,Tiramisu,108.33,4,Online,İstanbul,433.32
2025-07-16,İçecek,Kahve,42.13,2,Mağaza,Ankara,84.26
2025-03-19,Atıştırmalık,Tost,52.88,6,Mağaza,Bursa,317.28
2025-07-04,Tatlı,Dondurma,64.74,3,Mağaza,Bursa,194.22
2025-05-29,Tatlı,Dondurma,60.19,1,Online,Ankara,60.19
2025-06-02,İçecek,Kahve,45.77,2,Mağaza,İstanbul,91.54
2024-12-15,Atıştırmalık,Tost,58.4,6,Online,İzmir,350.4
2025-05-06,Yemek,Makarna,128.45,2,Mağaza,İzmir,256.9
2025-04-15,Yemek,Makarna,115.02,4,Mağaza,İstanbul,460.08
2024-12-05,Atıştırmalık,Kurabiye,31.56,1,Mağaza,Ankara,31.56
2025-05-06,Tatlı,Dondurma,58.78,5,Mağaza,İzmir,293.9
2025-01-16,Tatlı,Cheesecake,104.03,5,Mağaza,Bursa,520.15
2025-02-06,Yemek,Burger,127.24,5,Mağaza,İzmir,636.2
2025-02-14,Yemek,Salata,109.38,2,Mağaza,İstanbul,218.76
2025-05-22,Yemek,Pizza,187.87,6,Mağaza,İstanbul,1127.22
2025-04-09,İçecek,Limonata,38.63,1,Mağaza,Bursa,38.63
2025-05-04,Yemek,Burger,138.83,1,Online,İzmir,138.83
2025-03-05,İçecek,Limonata,37.38,2,Online,İstanbul,74.76
2025-03-25,Atıştırmalık,Kurabiye,34.49,4,Mağaza,Ankara,137.96
2025-07-31,Tatlı,Cheesecake,108.97,2,Mağaza,Bursa,217.94
2025-05-13,Yemek,Pizza,193.19,4,Online,Bursa,772.76
2025-01-05,Tatlı,Dondurma,64.31,4,Online,İzmir,257.24
2024-12-26,Tatlı,Dondurma,55.46,5,Online,İstanbul,277.3
2025-01-12,Yemek,Pizza,198.01,2,Mağaza,İzmir,396.02
2024-12-27,Yemek,Salata,116.58,3,Mağaza,İstanbul,349.74
2025-02-07,Atıştırmalık,Tost,68.32,4,Mağaza,Bursa,273.28
2025-04-27,İçecek,Çay,17.49,3,Mağaza,İstanbul,52.47
2024-12-11,İçecek,Limonata,34.33,1,Mağaza,İzmir,34.33
2025-02-12,Tatlı,Tiramisu,111.84,2,Mağaza,Ankara,223.68
2025-03-14,Yemek,Pizza,174.88,3,Mağaza,İzmir,524.64
2025-01-07,Atıştırmalık,Sandviç,63.92,2,Mağaza,Ankara,127.84
2025-04-13,Atıştırmalık,Sandviç,71.95,4,Mağaza,İstanbul,287.8
2025-06-18,Atıştırmalık,Kurabiye,32.3,1,Mağaza,İzmir,32.3
2024-12-23,Atıştırmalık,Muffin,39.65,1,Online,İstanbul,39.65
2025-01-16,Atıştırmalık,Muffin,34.97,6,Online,İstanbul,209.82
2025-02-28,İçecek,Limonata,37.43,1,Mağaza,Antalya,37.43
2025-01-15,İçecek,Soğuk Kahve,50.99,2,Online,Ankara,101.98
2025-03-17,İçecek,Çay,18.05,1,Mağaza,İzmir,18.05
2025-04-19,Yemek,Pizza,190.3,2,Mağaza,Ankara,380.6
2025-07-06,Tatlı,Tiramisu,121.31,1,Online,İzmir,121.31
2025-04-20,Atıştırmalık,Kurabiye,29.83,2,Mağaza,İzmir,59.66
2025-03-14,Yemek,Makarna,131.22,4,Mağaza,İzmir,524.88
2025-06-08,Atıştırmalık,Sandviç,65.86,3,Mağaza,Antalya,197.58
2025-06-28,İçecek,Çay,19.97,3,Mağaza,Ankara,59.91
2025-07-05,Yemek,Makarna,115.65,3,Mağaza,İzmir,346.95
2025-07-13,İçecek,Limonata,39.79,2,Mağaza,İzmir,79.58
2025-03-21,Atıştırmalık,Sandviç,76.31,2,Mağaza,İstanbul,152.62
2025-03-14,Atıştırmalık,Muffin,39.91,5,Online,Ankara,199.55
2025-01-29,Tatlı,Tiramisu,111.26,1,Mağaza,Antalya,111.26
2025-05-20,Atıştırmalık,Sandviç,76.14,3,Mağaza,İstanbul,228.42
2025-06-22,İçecek,Soğuk Kahve,54.91,3,Mağaza,İstanbul,164.73
2025-07-24,Atıştırmalık,Kurabiye,28.2,5,Online,Ankara,141.0
2025-03-10,Tatlı,Cheesecake,85.32,6,Online,İstanbul,511.92
2025-07-28,Tatlı,Dondurma,62.66,2,Online,Bursa,125.32
2025-02-06,İçecek,Çay,22.58,2,Mağaza,İstanbul,45.16
2025-04-12,Yemek,Pizza,161.3,1,Mağaza,İstanbul,161.3
2025-03-30,Atıştırmalık,Tost,54.24,2,Mağaza,İzmir,108.48
2025-01-06,Tatlı,Cheesecake,93.11,2,Mağaza,İstanbul,186.22
2025-02-10,Atıştırmalık,Tost,65.52,5,Mağaza,İzmir,327.6
2025-04-06,Atıştırmalık,Sandviç,65.67,5,Online,İzmir,328.35
2025-03-16,Yemek,Pizza,166.71,5,Mağaza,İzmir,833.55
2025-07-29,Tatlı,Cheesecake,98.42,5,Online,İzmir,492.1
2025-03-02,Atıştırmalık,Kurabiye,30.32,4,Mağaza,İstanbul,121.28
2024-12-31,Tatlı,Cheesecake,82.47,3,Online,İstanbul,247.41
2025-04-01,İçecek,Limonata,30.61,3,Mağaza,İstanbul,91.83
2025-04-16,İçecek,Kahve,46.93,1,Online,İstanbul,46.93
2025-01-20,Atıştırmalık,Muffin,37.6,2,Mağaza,Ankara,75.2
2024-12-29,Tatlı,Cheesecake,108.42,6,Online,İstanbul,650.52
2025-06-24,Atıştırmalık,Sandviç,73.75,5,Mağaza,Ankara,368.75
2025-01-09,Tatlı,Tiramisu,93.83,1,Mağaza,İstanbul,93.83
2025-01-10,Tatlı,Cheesecake,94.46,4,Mağaza,Ankara,377.84
2025-07-02,Yemek,Makarna,126.66,1,Mağaza,İstanbul,126.66
2024-12-11,Yemek,Burger,123.48,6,Mağaza,İstanbul,740.88
2025-04-30,Yemek,Salata,135.24,6,Online,Ankara,811.44
2024-12-01,Atıştırmalık,Sandviç,76.41,1,Mağaza,İzmir,76.41
2025-01-15,Yemek,Pizza,165.42,4,Online,İzmir,661.68
2025-03-11,Yemek,Salata,111.22,6,Mağaza,Bursa,667.32
2025-04-28,İçecek,Çay,17.19,2,Mağaza,İzmir,34.38
2025-02-28,Tatlı,Tiramisu,103.29,2,Mağaza,İzmir,206.58
2025-03-20,Tatlı,Tiramisu,112.79,5,Online,İstanbul,563.95
2025-05-13,Yemek,Makarna,126.91,6,Mağaza,İstanbul,761.46
